year;artists;explicit;name;popularity;tempo;artists_song
2001;Usher;0;U Got It Bad;70;124.037;Usher - U Got It Bad
2001;The Strokes;0;Last Nite;64;104.055;The Strokes - Last Nite
2001;Usher;0;U Remind Me;73;93.985;Usher - U Remind Me
2001;The Strokes;0;Someday;64;106.031;The Strokes - Someday
2001;Jimmy Eat World;0;Sweetness;67;13.533.100.000.000.000;Jimmy Eat World - Sweetness
2001;Daft Punk;0;One More Time;75;122.752;Daft Punk - One More Time
2001;Ja Rule;1;Always On Time;73;96.673;Ja Rule - Always On Time
2001;Alicia Keys;0;Fallin';73;95.982;Alicia Keys - Fallin'
2001;TOOL;0;Schism;68;107.438;TOOL - Schism
2001;The Shins;0;New Slang;69;130.016;The Shins - New Slang
2001;Incubus;0;Wish You Were Here;69;169.873;Incubus - Wish You Were Here
2001;South Park Mexican;1;I Must Be High;63;162.039;South Park Mexican - I Must Be High
2001;Cake;0;Short Skirt / Long Jacket;65;119.995;Cake - Short Skirt / Long Jacket
2001;Missy Elliott;1;Get Ur Freak On;69;177.87;Missy Elliott - Get Ur Freak On
2001;Destinys Child;0;Survivor;71;161.109;Destinys Child - Survivor
2001;Daft Punk;0;Harder, Better, Faster, Stronger;71;123.475;Daft Punk - Harder, Better, Faster, Stronger
2001;Jagged Edge;0;Where the Party At (feat. Nelly);66;129.491;Jagged Edge - Where the Party At (feat. Nelly)
2001;Yiruma;0;River Flows In You;72;14.527.700.000.000.000;Yiruma - River Flows In You
2001;Shakira;0;Whenever, Wherever;74;107.661;Shakira - Whenever, Wherever
2001;Busta Rhymes;1;Break Ya Neck;70;8.301.100.000.000.000;Busta Rhymes - Break Ya Neck
2001;Creed;0;One Last Breath;69;126.602;Creed - One Last Breath
2001;Staind;0;Outside;62;146.564;Staind - Outside
"2001;Christina Aguilera;0;""Lady Marmalade - From """"Moulin Rouge"""" Soundtrack"";63;109.902;""Christina Aguilera - Lady Marmalade - From """"Moulin Rouge"""" Soundtrack""";;;;;;
2001;Blake Shelton;0;Austin;62;119.914;Blake Shelton - Austin
2001;Creed;0;My Sacrifice;70;146.349;Creed - My Sacrifice
2001;blink-182;1;The Rock Show;68;193.155;blink-182 - The Rock Show
2001;Mary J. Blige;0;Family Affair;71;92.887;Mary J. Blige - Family Affair
2001;The White Stripes;0;Fell In Love With a Girl;68;95.517;The White Stripes - Fell In Love With a Girl
2001;311;0;Amber;62;16.600.099.999.999.900;311 - Amber
2001;Britney Spears;0;I'm a Slave 4 U;69;110.027;Britney Spears - I'm a Slave 4 U
2001;Puddle Of Mudd;1;Control;63;163.689;Puddle Of Mudd - Control
2001;John Mayer;0;Why Georgia;64;96.915;John Mayer - Why Georgia
2001;Weezer;0;Hash Pipe;65;125.603;Weezer - Hash Pipe
2001;D12;1;Purple Pills;67;125.25;D12 - Purple Pills
2001;Billy Joel;0;Piano Man;68;179.167;Billy Joel - Piano Man
2001;Billy Joel;0;Uptown Girl;67;129.003;Billy Joel - Uptown Girl
2001;Destinys Child;0;Independent Women, Pt. 1;67;97.954;Destinys Child - Independent Women, Pt. 1
2001;Kylie Minogue;0;Can't Get You out of My Head;73;126.007;Kylie Minogue - Can't Get You out of My Head
2001;John Mayer;0;No Such Thing;65;131.918;John Mayer - No Such Thing
2001;P!nk;0;Get the Party Started;68;128.931;P!nk - Get the Party Started
2001;Daft Punk;0;Something About Us;69;99.958;Daft Punk - Something About Us
2001;Enrique Iglesias;0;Hero;62;151.959;Enrique Iglesias - Hero
2001;Journey;0;Any Way You Want It;64;138.162;Journey - Any Way You Want It
2001;Banda Machos;0;Me llamo Raquel;63;17.750.599.999.999.900;Banda Machos - Me llamo Raquel
2001;System Of A Down;0;Prison Song;66;99.733;System Of A Down - Prison Song
2001;Ludacris;1;Rollout (My Business);60;131.059;Ludacris - Rollout (My Business)
2001;Toby Keith;0;I Wanna Talk About Me;60;106.06;Toby Keith - I Wanna Talk About Me
2001;Los Bukis;0;Como Fui A Enamorarme De Ti;65;150.305;Los Bukis - Como Fui A Enamorarme De Ti
2001;The White Stripes;0;We're Going to Be Friends;63;97.399;The White Stripes - We're Going to Be Friends
2001;Jimmy Eat World;0;Bleed American;63;16.021.200.000.000.000;Jimmy Eat World - Bleed American
2001;Daryl Hall & John Oates;0;You Make My Dreams (Come True);63;167.084;Daryl Hall & John Oates - You Make My Dreams (Come True)
2001;Jack Johnson;0;Flake;63;97.657;Jack Johnson - Flake
2001;TOOL;0;Lateralus;63;172.641;TOOL - Lateralus
2001;Los Angeles De Charly;0;Me Volví A Acordar De Ti;66;145.968;Los Angeles De Charly - Me Volví A Acordar De Ti
2001;Daryl Hall & John Oates;0;Out of Touch;59;114.834;Daryl Hall & John Oates - Out of Touch
2001;Los Bukis;0;A Donde Vayas;66;8.518.799.999.999.990;Los Bukis - A Donde Vayas
2001;System Of A Down;0;ATWA;67;87.105;System Of A Down - ATWA
2001;Good Charlotte;0;Little Things;62;105.0;Good Charlotte - Little Things
2001;Kid Rock;1;You Never Met a Motherfucker Quite Like Me;58;141.94;Kid Rock - You Never Met a Motherfucker Quite Like Me
2001;Brad Paisley;0;I'm Gonna Miss Her;59;98.354;Brad Paisley - I'm Gonna Miss Her
2001;TOOL;0;Parabola;62;100.935;TOOL - Parabola
2001;Destinys Child;0;Bootylicious;65;103.376;Destinys Child - Bootylicious
2001;The Strokes;0;Hard To Explain;57;82.525;The Strokes - Hard To Explain
2001;Jimmy Eat World;0;Hear You Me;63;13.617.600.000.000.000;Jimmy Eat World - Hear You Me
2001;Trick Daddy;1;I'm a Thug;58;139.981;Trick Daddy - I'm a Thug
2001;The Smashing Pumpkins;0;Drown;62;144.0;The Smashing Pumpkins - Drown
2001;South Park Mexican;1;Bloody War;57;85.0;South Park Mexican - Bloody War
2001;Dave Matthews Band;0;The Space Between;57;170.032;Dave Matthews Band - The Space Between
2001;No Doubt;0;Underneath It All;59;138.204;No Doubt - Underneath It All
2001;John Williams;0;Hedwig's Theme;64;73.407;John Williams - Hedwig's Theme
